hero	book
HUMAN TORCH/JOHNNY S	IW 6
GALACTUS/GALAN	IW 6
GAMBIT/REMY LEBEAU 	IW 6
HULK DOPPELGANGER II	IW 6
ETERNITY/ADAM QADMON	IW 6
SILVER SURFER/NORRIN	IW 6
THANOS	IW 6
COLOSSUS II/PETER RA	IW 6
LIVING LIGHTNING/MIG	IW 6
VISION 	IW 6
ICEMAN DOPPELGANGER	IW 6
SASQUATCH/WALTER LAN	IW 6
UATU	IW 6
BEAST/HENRY &HANK& P	IW 6
WOLVERINE DOPPELGANG	IW 6
HERCULES [GREEK GOD]	IW 6
HARKNESS, AGATHA	IW 6
ICEMAN/ROBERT BOBBY 	IW 6
DR. DRUID/ANTHONY LU	IW 6
ROGUE /	IW 6
CAPTAIN AMERICA	IW 6
FORGE	IW 6
INFINITY II	IW 6
SILVER SURFER DOPPEL	IW 6
NOVA/RICHARD RIDER	IW 6
MR. FANTASTIC/REED R	IW 6
PROFESSOR X/CHARLES 	IW 6
VISION DOPPELGANGER 	IW 6
HUDSON, HEATHER	IW 6
STRONG GUY/GUIDO CAR	IW 6
BLACK KNIGHT V/DANE 	IW 6
VINDICATOR II DOPPEL	IW 6
BLACK WIDOW/NATASHA 	IW 6
MAGUS	IW 6
DR. STRANGE/STEPHEN 	IW 6
SHAMAN/MICHAEL TWOYO	IW 6
WOLVERINE/LOGAN 	IW 6
PSYLOCKE/ELISABETH B	IW 6
DRAX DOPPELGANGER	IW 6
INVISIBLE WOMAN/SUE 	IW 6
CYCLOPS/SCOTT SUMMER	IW 6
DRAX/ARTHUR DOUGLAS	IW 6
WARLOCK II/ADAM WARL	IW 6
THING DOPPELGANGER I	IW 6
SCARLET WITCH/WANDA 	IW 6
WOLVERINE/LOGAN 	FF 370
WARLOCK II/ADAM WARL	FF 370
PROFESSOR X/CHARLES 	FF 370
QUASAR DOPPELGANGER 	FF 370
THOR III DOPPELGANGE	FF 370
ANGEL DOPPELGANGER	FF 370
MR. FANTASTIC/REED R	FF 370
CAPTAIN AMERICA	FF 370
ROGUE /	FF 370
DR. DRUID/ANTHONY LU	FF 370
HERCULES [GREEK GOD]	FF 370
THANOS	FF 370
SASQUATCH/WALTER LAN	FF 370
MARVEL GIRL DOPPELGA	FF 370
MOONDRAGON DOPPELGAN	FF 370
DEVOS THE DEVESTATOR	FF 370
THANOS DOPPELGANGER	FF 370
PSYLOCKE/ELISABETH B	FF 370
VISION 	FF 370
SASQUATCH DOPPELGANG	FF 370
�GAMORA	FF 370
INVISIBLE WOMAN/SUE 	FF 370
STORM DOPPELGANGER I	FF 370
NOVA/RICHARD RIDER	FF 370
LYJA LAZERFIST [SKRU	FF 370
CYCLOPS/SCOTT SUMMER	FF 370
DRAX/ARTHUR DOUGLAS	FF 370
HUMAN TORCH/JOHNNY S	FF 370
COLOSSUS II/PETER RA	FF 370
PAIBOK, CAPT. [SKRUL	FF 370
RICHARDS, FRANKLIN B	FF 370
HULK DOPPELGANGER II	FF 370
LIVING LIGHTNING/MIG	FF 370
SCARLET WITCH DOPPEL	FF 370
HUDSON, HEATHER	FF 370
CAPTAIN AMERICA DOPP	FF 370
GALACTUS/GALAN	FF 370
SHE-HULK/JENNIFER WA	FF 370
IRON MAN/TONY STARK 	FF 370
HULK/DR. ROBERT BRUC	FF 370
NOVA II/FRANKIE RAYE	FF 370
PUPPET MASTER/PHILLI	FF 370
MOONDRAGON/HEATHER D	FF 370
THUNDERSTRIKE/ERIC K	FF 370
HAVOK/ALEX SUMMERS 	FF 370
NAMORITA/NITA PRENTI	FF 370
MARVEL GIRL/JEAN GRE	FF 370
DARKHAWK/CHRIS POWEL	FF 370
STORM/ORORO MUNROE S	FF 370
COLOSSUS II DOPPELGA	FF 370
ANGEL/WARREN KENNETH	FF 370
VINDICATOR II DOPPEL	FF 370
THING/BENJAMIN J. GR	FF 370
VINDICATOR II DOPPEL	FF 370
DAREDEVIL/MATT MURDO	FF 370
MAGUS	FF 370
SILVER SURFER/NORRIN	FF 370
STRONG GUY/GUIDO CAR	FF 370
WONDER MAN/SIMON WIL	FF 370
DR. STRANGE/STEPHEN 	FF 370
INVISIBLE WOMAN DOPP	FF 370
SCARLET WITCH/WANDA 	FF 370
BLACK WIDOW/NATASHA 	FF 370
RASPUTIN, MIKHAIL	UX 291
ANGEL/WARREN KENNETH	UX 291
MARVEL GIRL/JEAN GRE	UX 291
CALLISTO	UX 291
COLOSSUS II/PETER RA	UX 291
HEALER	UX 291
ICEMAN/ROBERT BOBBY 	UX 291
PROFESSOR X/CHARLES 	UX 291
BISHOP /	UX 291
STORM/ORORO MUNROE S	UX 291
ICEMAN/ROBERT BOBBY 	UX 292
PROFESSOR X/CHARLES 	UX 292
BISHOP /	UX 292
BRAIN CELL/	UX 292
MARVEL GIRL/JEAN GRE	UX 292
RASPUTIN, MIKHAIL	UX 292
MEME	UX 292
CALLISTO	UX 292
ANGEL/WARREN KENNETH	UX 292
COLOSSUS II/PETER RA	UX 292
STORM/ORORO MUNROE S	UX 292
PROFESSOR X/CHARLES 	UX 293
ANGEL/WARREN KENNETH	UX 293
BISHOP /	UX 293
STORM/ORORO MUNROE S	UX 293
CALLISTO	UX 293
MARVEL GIRL/JEAN GRE	UX 293
RASPUTIN, MIKHAIL	UX 293
COLOSSUS II/PETER RA	UX 293
ICEMAN/ROBERT BOBBY 	UX 293
QUICKSILVER/PIETRO M	UX 294
STRYFE	UX 294
SIRYN/THERESA ROURKE	UX 294
BOOMER/TABITHA SMITH	UX 294
SUNSPOT/ROBERTO DACO	UX 294
CYCLOPS/SCOTT SUMMER	UX 294
THUNDERBIRD II/JAMES	UX 294
MULTIPLE MAN/JAMES A	UX 294
STRONG GUY/GUIDO CAR	UX 294
ICEMAN/ROBERT BOBBY 	UX 294
RICTOR/JULIO ESTEBAN	UX 294
BISHOP /	UX 294
CHENEY, LILA	UX 294
TILBY, TRISH/PATRICI	UX 294
PROFESSOR X/CHARLES 	UX 294
WAR/ABRAHAM LINCOLN 	UX 294
CANNONBALL II/SAM GU	UX 294
COLOSSUS II/PETER RA	UX 294
GAMBIT/REMY LEBEAU 	UX 294
ROGUE /	UX 294
FAMINE/AUTUMN ROLFSO	UX 294
CALIBAN/	UX 294
ANGEL/WARREN KENNETH	UX 294
JONES, CHARLOTTE	UX 294
MARVEL GIRL/JEAN GRE	UX 294
STORM/ORORO MUNROE S	UX 294
POLARIS/LORNA DANE	XF 84
ROGUE /	XF 84
STORM/ORORO MUNROE S	XF 84
RICTOR/JULIO ESTEBAN	XF 84
MARVEL GIRL/JEAN GRE	XF 84
PROFESSOR X/CHARLES 	XF 84
WOLVERINE/LOGAN 	XF 84
MR. SINISTER/NATHAN 	XF 84
CYCLOPS/SCOTT SUMMER	XF 84
PRODIGAL/	XF 84
THUNDERBIRD II/JAMES	XF 84
BOOMER/TABITHA SMITH	XF 84
CALIBAN/	XF 84
BEAST/HENRY &HANK& P	XF 84
CANNONBALL II/SAM GU	XF 84
WAR/ABRAHAM LINCOLN 	XF 84
GAMBIT/REMY LEBEAU 	XF 84
ANGEL/WARREN KENNETH	XF 84
PIROUETTE/JOBETH	XF 84
BISHOP /	XF 84
WOLFSBANE/RAHNE SINC	XF 84
HAVOK/ALEX SUMMERS 	XF 84
COOPER, DR. VALERIE	XF 84
SIRYN/THERESA ROURKE	XF 84
PSYLOCKE/ELISABETH B	XF 84
QUICKSILVER/PIETRO M	XF 84
FERAL/MARIA CALLASAN	XF 84
SHATTERSTAR II/GAVEE	XF 84
FAMINE/AUTUMN ROLFSO	XF 84
SUNSPOT/ROBERTO DACO	XF 84
MULTIPLE MAN/JAMES A	XF 84
STRONG GUY/GUIDO CAR	XF 84
REAPER II	X 14
BISHOP /	X 14
THUNDERBIRD II/JAMES	X 14
POLARIS/LORNA DANE	X 14
SUMMERS, NATHAN CHRI	X 14
SHATTERSTAR II/GAVEE	X 14
PSYNAPSE	X 14
HARDRIVE	X 14
STORM/ORORO MUNROE S	X 14
ICEMAN/ROBERT BOBBY 	X 14
CANNONBALL II/SAM GU	X 14
JUBILEE/JUBILATION L	X 14
COOPER, DR. VALERIE	X 14
COLOSSUS II/PETER RA	X 14
PROFESSOR X/CHARLES 	X 14
MACTAGGERT, MOIRA KI	X 14
APOCALYPSE/EN SABAH 	X 14
SUNSPOT/ROBERTO DACO	X 14
GAMBIT/REMY LEBEAU 	X 14
BOOMER/TABITHA SMITH	X 14
BEAST/HENRY &HANK& P	X 14
FOXBAT	X 14
HUNTER, STEVIE	X 14
GAUNTLET	X 14
RICTOR/JULIO ESTEBAN	X 14
WOLFSBANE/RAHNE SINC	X 14
TUSK	X 14
MULTIPLE MAN/JAMES A	X 14
ROGUE /	X 14
SIRYN/THERESA ROURKE	X 14
ANGEL/WARREN KENNETH	X 14
QUICKSILVER/PIETRO M	X 14
HAVOK/ALEX SUMMERS 	X 14
WOLVERINE/LOGAN 	X 14
STRONG GUY/GUIDO CAR	X 14
FERAL/MARIA CALLASAN	X 14
CYCLOPS/SCOTT SUMMER	X 14
PSYLOCKE/ELISABETH B	X 14
ZERO	X 14
FOREARM	X 14
MR. SINISTER/NATHAN 	X 14
MARVEL GIRL/JEAN GRE	X 14
ICEMAN/ROBERT BOBBY 	XFOR 16
MR. SINISTER/NATHAN 	XFOR 16
FOREARM	XFOR 16
ANGEL/WARREN KENNETH	XFOR 16
STORM/ORORO MUNROE S	XFOR 16
ROGUE /	XFOR 16
HAVOK/ALEX SUMMERS 	XFOR 16
HUNTER, STEVIE	XFOR 16
GAMBIT/REMY LEBEAU 	XFOR 16
RICTOR/JULIO ESTEBAN	XFOR 16
STRONG GUY/GUIDO CAR	XFOR 16
STRYFE	XFOR 16
QUICKSILVER/PIETRO M	XFOR 16
WOLFSBANE/RAHNE SINC	XFOR 16
SIRYN/THERESA ROURKE	XFOR 16
BEAST/HENRY &HANK& P	XFOR 16
SHATTERSTAR II/GAVEE	XFOR 16
THUNDERBIRD II/JAMES	XFOR 16
WOLVERINE/LOGAN 	XFOR 16
BISHOP /	XFOR 16
SUMMERS, NATHAN CHRI	XFOR 16
CANNONBALL II/SAM GU	XFOR 16
COLOSSUS II/PETER RA	XFOR 16
CALIBAN/	XFOR 16
MARVEL GIRL/JEAN GRE	XFOR 16
MULTIPLE MAN/JAMES A	XFOR 16
JUBILEE/JUBILATION L	XFOR 16
FAMINE/AUTUMN ROLFSO	XFOR 16
COOPER, DR. VALERIE	XFOR 16
POLARIS/LORNA DANE	XFOR 16
ZERO	XFOR 16
FERAL/MARIA CALLASAN	XFOR 16
CYCLOPS/SCOTT SUMMER	XFOR 16
SUNSPOT/ROBERTO DACO	XFOR 16
PSYLOCKE/ELISABETH B	XFOR 16
BOOMER/TABITHA SMITH	XFOR 16
MACTAGGERT, MOIRA KI	UX 295
SUMMERS, NATHAN CHRI	UX 295
WAR/ABRAHAM LINCOLN 	UX 295
STRYFE	UX 295
BISHOP /	UX 295
CALIBAN/	UX 295
ICEMAN/ROBERT BOBBY 	UX 295
FAMINE/AUTUMN ROLFSO	UX 295
STRONG GUY/GUIDO CAR	UX 295
STORM/ORORO MUNROE S	UX 295
GAMBIT/REMY LEBEAU 	UX 295
POLARIS/LORNA DANE	UX 295
ANGEL/WARREN KENNETH	UX 295
SUNSPOT/ROBERTO DACO	UX 295
BEAST/HENRY &HANK& P	UX 295
PSYLOCKE/ELISABETH B	UX 295
QUICKSILVER/PIETRO M	UX 295
FERAL/MARIA CALLASAN	UX 295
WOLVERINE/LOGAN 	UX 295
ROGUE /	UX 295
SHATTERSTAR II/GAVEE	UX 295
COOPER, DR. VALERIE	UX 295
CANNONBALL II/SAM GU	UX 295
APOCALYPSE/EN SABAH 	UX 295
COLOSSUS II/PETER RA	UX 295
HAVOK/ALEX SUMMERS 	UX 295
THUNDERBIRD II/JAMES	UX 295
MARVEL GIRL/JEAN GRE	UX 295
PROFESSOR X/CHARLES 	UX 295
BOOMER/TABITHA SMITH	UX 295
JUBILEE/JUBILATION L	UX 295
MULTIPLE MAN/JAMES A	UX 295
RICTOR/JULIO ESTEBAN	UX 295
SIRYN/THERESA ROURKE	UX 295
STORM/ORORO MUNROE S	XF 85
ROGUE /	XF 85
MULTIPLE MAN/JAMES A	XF 85
DRAGONESS	XF 85
ANGEL/WARREN KENNETH	XF 85
CYCLOPS/SCOTT SUMMER	XF 85
PRODIGAL/	XF 85
FOREARM	XF 85
APOCALYPSE/EN SABAH 	XF 85
POLARIS/LORNA DANE	XF 85
WILDSIDE	XF 85
PSYLOCKE/ELISABETH B	XF 85
BOOMER/TABITHA SMITH	XF 85
ICEMAN/ROBERT BOBBY 	XF 85
TEMPO	XF 85
REAPER II	XF 85
BISHOP /	XF 85
CANNONBALL II/SAM GU	XF 85
QUICKSILVER/PIETRO M	XF 85
WOLVERINE/LOGAN 	XF 85
STRYFE	XF 85
GAMBIT/REMY LEBEAU 	XF 85
KAMIKAZE	XF 85
HAVOK/ALEX SUMMERS 	XF 85
SKIDS/SALLY BLEVINS	X 15
STRYFE	X 15
ZERO	X 15
COLOSSUS II/PETER RA	X 15
PROFESSOR X/CHARLES 	X 15
ANGEL/WARREN KENNETH	X 15
FIREFIST/RUSTY COLLI	X 15
TUSK	X 15
STORM/ORORO MUNROE S	X 15
ICEMAN/ROBERT BOBBY 	X 15
HAVOK/ALEX SUMMERS 	X 15
HARDRIVE	X 15
MACTAGGERT, MOIRA KI	X 15
WOLVERINE/LOGAN 	X 15
REAPER II	X 15
CANNONBALL II/SAM GU	X 15
BOOMER/TABITHA SMITH	X 15
MARVEL GIRL/JEAN GRE	X 15
APOCALYPSE/EN SABAH 	X 15
GAMBIT/REMY LEBEAU 	X 15
BISHOP /	X 15
STROBE/	X 15
FOXBAT	X 15
SUMMERS, NATHAN CHRI	X 15
SLAB/KRIS ANDERSON	X 15
GAUNTLET	X 15
POLARIS/LORNA DANE	X 15
CYCLOPS/SCOTT SUMMER	X 15
DRAGONESS	X 15
FOREARM	X 15
THUMBELLINA	X 15
BEAST/HENRY &HANK& P	X 15
QUICKSILVER/PIETRO M	X 15
STRONG GUY/GUIDO CAR	X 15
PSYNAPSE	X 15
ROGUE /	X 15
PSYLOCKE/ELISABETH B	X 15
MULTIPLE MAN/JAMES A	XFOR 17
STRONG GUY/GUIDO CAR	XFOR 17
THUNDERBIRD II/JAMES	XFOR 17
ROGUE /	XFOR 17
HUNTER, STEVIE	XFOR 17
APOCALYPSE/EN SABAH 	XFOR 17
BEAST/HENRY &HANK& P	XFOR 17
ANGEL/WARREN KENNETH	XFOR 17
ZERO	XFOR 17
COLOSSUS II/PETER RA	XFOR 17
SIRYN/THERESA ROURKE	XFOR 17
CANNONBALL II/SAM GU	XFOR 17
BOOMER/TABITHA SMITH	XFOR 17
HAVOK/ALEX SUMMERS 	XFOR 17
MARVEL GIRL/JEAN GRE	XFOR 17
BISHOP /	XFOR 17
SUMMERS, NATHAN CHRI	XFOR 17
FERAL/MARIA CALLASAN	XFOR 17
GAUNTLET	XFOR 17
POLARIS/LORNA DANE	XFOR 17
CYCLOPS/SCOTT SUMMER	XFOR 17
WOLFSBANE/RAHNE SINC	XFOR 17
SUNSPOT/ROBERTO DACO	XFOR 17
GAMBIT/REMY LEBEAU 	XFOR 17
QUICKSILVER/PIETRO M	XFOR 17
PSYNAPSE	XFOR 17
PROFESSOR X/CHARLES 	XFOR 17
STORM/ORORO MUNROE S	XFOR 17
SHATTERSTAR II/GAVEE	XFOR 17
TUSK	XFOR 17
RICTOR/JULIO ESTEBAN	XFOR 17
STRYFE	XFOR 17
ICEMAN/ROBERT BOBBY 	XFOR 17
HARDRIVE	XFOR 17
MACTAGGERT, MOIRA KI	XFOR 17
WOLVERINE/LOGAN 	XFOR 17
COOPER, DR. VALERIE	XFOR 17
ZERO	UX 296
ANGEL/WARREN KENNETH	UX 296
SIRYN/THERESA ROURKE	UX 296
BEAST/HENRY &HANK& P	UX 296
TUSK	UX 296
SHATTERSTAR II/GAVEE	UX 296
STRYFE	UX 296
MACTAGGERT, MOIRA KI	UX 296
THUNDERBIRD II/JAMES	UX 296
MAINFRAME II	UX 296
WOLVERINE/LOGAN 	UX 296
RICTOR/JULIO ESTEBAN	UX 296
PSYNAPSE	UX 296
STORM/ORORO MUNROE S	UX 296
SUNSPOT/ROBERTO DACO	UX 296
FERAL/MARIA CALLASAN	UX 296
CYCLOPS/SCOTT SUMMER	UX 296
GAUNTLET	UX 296
SUMMERS, NATHAN CHRI	UX 296
MARVEL GIRL/JEAN GRE	UX 296
FOXBAT	UX 296
BISHOP /	UX 296
HAVOK/ALEX SUMMERS 	UX 296
CANNONBALL II/SAM GU	UX 296
POLARIS/LORNA DANE	UX 296
APOCALYPSE/EN SABAH 	UX 296
PROFESSOR X/CHARLES 	UX 296
ICEMAN/ROBERT BOBBY 	XF 86
MACTAGGERT, MOIRA KI	XF 86
BEAST/HENRY &HANK& P	XF 86
BISHOP /	XF 86
WOLVERINE/LOGAN 	XF 86
STORM/ORORO MUNROE S	XF 86
HAVOK/ALEX SUMMERS 	XF 86
POLARIS/LORNA DANE	XF 86
STRYFE	XF 86
WOLFSBANE/RAHNE SINC	XF 86
APOCALYPSE/EN SABAH 	XF 86
CYCLOPS/SCOTT SUMMER	XF 86
SUMMERS, NATHAN CHRI	XF 86
COOPER, DR. VALERIE	XF 86
ANGEL/WARREN KENNETH	XF 86
MARVEL GIRL/JEAN GRE	XF 86
CANNONBALL II/SAM GU	XF 86
MULTIPLE MAN/JAMES A	XF 86
PROFESSOR X/CHARLES 	XF 86
STRONG GUY/GUIDO CAR	XF 86
PSYLOCKE/ELISABETH B	XF 86
PROFESSOR X/CHARLES 	X 16
BEAST/HENRY &HANK& P	X 16
CYCLOPS/SCOTT SUMMER	X 16
APOCALYPSE/EN SABAH 	X 16
BISHOP /	X 16
GAUNTLET	X 16
PSYLOCKE/ELISABETH B	X 16
POLARIS/LORNA DANE	X 16
ANGEL/WARREN KENNETH	X 16
MAINFRAME II	X 16
HAVOK/ALEX SUMMERS 	X 16
STRYFE	X 16
STORM/ORORO MUNROE S	X 16
ZERO	X 16
TUSK	X 16
SUMMERS, NATHAN CHRI	X 16
ICEMAN/ROBERT BOBBY 	X 16
MARVEL GIRL/JEAN GRE	X 16
CANNONBALL II/SAM GU	X 16
WOLFSBANE/RAHNE SINC	X 16
WOLVERINE/LOGAN 	X 16
JUBILEE/JUBILATION L	XFOR 18
STRYFE	XFOR 18
STORM/ORORO MUNROE S	XFOR 18
BISHOP /	XFOR 18
HAVOK/ALEX SUMMERS 	XFOR 18
PSYLOCKE/ELISABETH B	XFOR 18
SUMMERS, NATHAN CHRI	XFOR 18
ANGEL/WARREN KENNETH	XFOR 18
CANNONBALL II/SAM GU	XFOR 18
MR. SINISTER/NATHAN 	XFOR 18
MARVEL GIRL/JEAN GRE	XFOR 18
ICEMAN/ROBERT BOBBY 	XFOR 18
WOLVERINE/LOGAN 	XFOR 18
APOCALYPSE/EN SABAH 	XFOR 18
PROFESSOR X/CHARLES 	XFOR 18
BEAST/HENRY &HANK& P	XFOR 18
CYCLOPS/SCOTT SUMMER	XFOR 18
POLARIS/LORNA DANE	XFOR 18
PROFESSOR X/CHARLES 	UX 314
ANGEL/WARREN KENNETH	UX 314
JUBILEE/JUBILATION L	UX 314
BANSHEE/SEAN CASSIDY	UX 314
WHITE QUEEN/EMMA FRO	UX 314
ICEMAN/ROBERT BOBBY 	UX 314
STORM/ORORO MUNROE S	UX 314
BISHOP /	UX 314
MARVEL GIRL/JEAN GRE	C2 16
BISHOP /	C2 16
BEAST/HENRY &HANK& P	C2 16
STORM/ORORO MUNROE S	C2 16
LANG, DR. STEVEN	C2 16
SUMMERS, NATHAN CHRI	C2 16
CYCLOPS/SCOTT SUMMER	C2 16
PSYLOCKE/ELISABETH B	C2 16
ANGEL/WARREN KENNETH	C2 16
ICEMAN/ROBERT BOBBY 	C2 16
GAMBIT/REMY LEBEAU 	C2 16
WOLVERINE/LOGAN 	C2 16
ICEMAN/ROBERT BOBBY 	UX 318
WHITE QUEEN/EMMA FRO	UX 318
SKIN/ANGELO ESPINOSA	UX 318
JUBILEE/JUBILATION L	UX 318
STORM/ORORO MUNROE S	UX 318
BANSHEE/SEAN CASSIDY	UX 318
BISHOP /	UX 318
MARVEL GIRL/JEAN GRE	UX 318
M	UX 318
SYNCH/EVERETT THOMAS	UX 318
PROFESSOR X/CHARLES 	UX 318
GAMBIT/REMY LEBEAU 	UX 318
BEAST/HENRY &HANK& P	UX 318
ANGEL/WARREN KENNETH	UX 318
CYCLOPS/SCOTT SUMMER	UX 318
HUSK/PAIGE GUTHRIE	UX 318
GAMBIT/REMY LEBEAU 	X@ 3
BISHOP /	X@ 3
KINE, BENEDICT	X@ 3
PAYGE, REEVA	X@ 3
PROFESSOR X/CHARLES 	X@ 3
KAUR, BENAZIR	X@ 3
BEAST/HENRY &HANK& P	X@ 3
STORM/ORORO MUNROE S	X@ 3
JARVIS, EDWIN 	X@ 3
ANGEL/WARREN KENNETH	X@ 3
JUBILEE/JUBILATION L	X@ 3
SHAW, SHINOBI	X@ 3
GAMBIT/REMY LEBEAU 	BSHP 4
SHARD	BSHP 4
PSYLOCKE/ELISABETH B	BSHP 4
PROFESSOR X/CHARLES 	BSHP 4
BEAST/HENRY &HANK& P	BSHP 4
BISHOP /	BSHP 4
ANGEL/WARREN KENNETH	BSHP 4
MOUNTJOY	BSHP 4
LEGION II/DAVID HALL	UX 319
PROFESSOR X/CHARLES 	UX 319
PSYLOCKE/ELISABETH B	UX 319
ANGEL/WARREN KENNETH	UX 319
DRAKE, WILLIAM ROBER	UX 319
BEAST/HENRY &HANK& P	UX 319
DRAKE, MADELINE BEAT	UX 319
ICEMAN/ROBERT BOBBY 	UX 319
BISHOP /	X 40
WOLVERINE/LOGAN 	X 40
GAMBIT/REMY LEBEAU 	X 40
BEAST/HENRY &HANK& P	X 40
LILANDRA NERAMANI [S	X 40
HALLER, GABRIELLE	X 40
STORM/ORORO MUNROE S	X 40
MARVEL GIRL/JEAN GRE	X 40
DOMINO III/BEATRICE/	X 40
SUMMERS, NATHAN CHRI	X 40
ANGEL/WARREN KENNETH	X 40
LEGION II/DAVID HALL	X 40
ROGUE /	X 40
PROFESSOR X/CHARLES 	X 40
UATU	X 40
PSYLOCKE/ELISABETH B	X 40
ICEMAN/ROBERT BOBBY 	X 40
CYCLOPS/SCOTT SUMMER	X 40
MIRAGE II/DANIELLE M	XFOR 43
CANNONBALL II/SAM GU	XFOR 43
ANGEL/WARREN KENNETH	XFOR 43
BOOMER/TABITHA SMITH	XFOR 43
HITCHUCK, KELLY	XFOR 43
SIRYN/THERESA ROURKE	XFOR 43
FOREARM	XFOR 43
SUNSPOT/ROBERTO DACO	XFOR 43
SUMMERS, NATHAN CHRI	XFOR 43
LOCUS	XFOR 43
PROFESSOR X/CHARLES 	XFOR 43
CYCLOPS/SCOTT SUMMER	XFOR 43
THUNDERBIRD II/JAMES	XFOR 43
BRIGHTWIND	XFOR 43
COLE, PRISCILLA	XFOR 43
RICTOR/JULIO ESTEBAN	XFOR 43
DOMINO III/BEATRICE/	XFOR 43
SHATTERSTAR II/GAVEE	XFOR 43
WILDSIDE	XFOR 43
PROFESSOR X/CHARLES 	UX 321
ROGUE /	UX 321
STORM/ORORO MUNROE S	UX 321
MARVEL GIRL/JEAN GRE	UX 321
ANGEL/WARREN KENNETH	UX 321
GAMBIT/REMY LEBEAU 	UX 321
SUMMERS, NATHAN CHRI	UX 321
BEAST/HENRY &HANK& P	UX 321
CYCLOPS/SCOTT SUMMER	UX 321
LEGION II/DAVID HALL	UX 321
ICEMAN/ROBERT BOBBY 	UX 321
PSYLOCKE/ELISABETH B	UX 321
BISHOP /	UX 321
MAGNETO/MAGNUS/ERIC 	UX 321
CYCLOPS/SCOTT SUMMER	X 41
ICEMAN/ROBERT BOBBY 	X 41
ROGUE /	X 41
BISHOP /	X 41
MARVEL GIRL/JEAN GRE	X 41
PROFESSOR X/CHARLES 	X 41
STORM/ORORO MUNROE S	X 41
ANGEL/WARREN KENNETH	X 41
LILANDRA NERAMANI [S	X 41
PSYLOCKE/ELISABETH B	X 41
LEGION II/DAVID HALL	X 41
GAMBIT/REMY LEBEAU 	X 41
BEAST/HENRY &HANK& P	X 41
DOMINO III/BEATRICE/	X 41
SUMMERS, NATHAN CHRI	X 41
PROFESSOR X/CHARLES 	C2 20
CYCLOPS/SCOTT SUMMER	C2 20
SUMMERS, NATHAN CHRI	C2 20
ROGUE /	C2 20
GAMBIT/REMY LEBEAU 	C2 20
LILANDRA NERAMANI [S	C2 20
ANGEL/WARREN KENNETH	C2 20
MARVEL GIRL/JEAN GRE	C2 20
BEAST/HENRY &HANK& P	C2 20
DOMINO III/BEATRICE/	C2 20
WISDOM, PETER	X:PRIME
SHATTERSTAR II/GAVEE	X:PRIME
SIRYN/THERESA ROURKE	X:PRIME
DARK BEAST/HENRY MCC	X:PRIME
JUBILEE/JUBILATION L	X:PRIME
POLARIS/LORNA DANE	X:PRIME
HAVOK/ALEX SUMMERS 	X:PRIME
PSYLOCKE/ELISABETH B	X:PRIME
FORGE	X:PRIME
BLAQUESMITH	X:PRIME
COLOSSUS II/PETER RA	X:PRIME
RICTOR/JULIO ESTEBAN	X:PRIME
CYPHER/DOUG RAMSEY	X:PRIME
HUSK/PAIGE GUTHRIE	X:PRIME
PROFESSOR X/CHARLES 	X:PRIME
STORM/ORORO MUNROE S	X:PRIME
EMPLATE/MARIUS ST. C	X:PRIME
CARGIL/JOANNA CARGIL	X:PRIME
BEAST/HENRY &HANK& P	X:PRIME
ROGUE /	X:PRIME
SYNCH/EVERETT THOMAS	X:PRIME
KELLY, SEN. ROBERT E	X:PRIME
EDGERTON, MR.	X:PRIME
CANNONBALL II/SAM GU	X:PRIME
MARVEL GIRL/JEAN GRE	X:PRIME
FIREFIST/RUSTY COLLI	X:PRIME
TILBY, TRISH/PATRICI	X:PRIME
BOOMER/TABITHA SMITH	X:PRIME
DOMINO III/BEATRICE/	X:PRIME
EDGERTON, GAYLE	X:PRIME
MACTAGGERT, MOIRA KI	X:PRIME
ANGEL/WARREN KENNETH	X:PRIME
SUGAR MAN	X:PRIME
GAMBIT/REMY LEBEAU 	X:PRIME
HOUND	X:PRIME
MARROW/SARAH 	X:PRIME
SHADOWCAT/KATHERINE 	X:PRIME
COOPER, DR. VALERIE	X:PRIME
SUNSPOT/ROBERTO DACO	X:PRIME
MYSTIQUE/RAVEN DARKH	X:PRIME
X-MAN/NATHAN GREY 	X:PRIME
EXODUS/BENNET DUPARI	X:PRIME
MILAN	X:PRIME
THUNDERBIRD II/JAMES	X:PRIME
SUMMERS, NATHAN CHRI	X:PRIME
BISHOP /	X:PRIME
WOLVERINE/LOGAN 	X:PRIME
HOLOCAUST	X:PRIME
CAMPBELL, DR. RORY	X:PRIME
ICEMAN/ROBERT BOBBY 	X:PRIME
VOGHT, AMELIA	X:PRIME
CYCLOPS/SCOTT SUMMER	X:PRIME
PSYLOCKE/ELISABETH B	UX 322
BEAST/HENRY &HANK& P	UX 322
SIRYN/THERESA ROURKE	UX 322
GREY, DR. JOHN	UX 322
WOLVERINE/LOGAN 	UX 322
JUGGERNAUT/CAIN MARK	UX 322
MARVEL GIRL/JEAN GRE	UX 322
CYCLOPS/SCOTT SUMMER	UX 322
BISHOP /	UX 322
STORM/ORORO MUNROE S	UX 322
BAILEY, SARA GREY	UX 322
JONES, CHARLOTTE	UX 322
ANGEL/WARREN KENNETH	UX 322
WOLVERINE/LOGAN 	W2 91
BISHOP /	W2 91
PROFESSOR X/CHARLES 	W2 91
MARVEL GIRL/JEAN GRE	W2 91
BEAST/HENRY &HANK& P	W2 91
